ticker,trading_date,open,high,low,close,volume
BID,2014-01-24T00:00,9794.45,10052.19,9536.7,9691.35,8417060.0
BID,2014-01-27T00:00,9639.8,9691.35,9330.5,9485.15,3240910.0
BID,2014-02-06T00:00,9382.05,9433.6,9072.75,9072.75,959590.0
BID,2014-02-07T00:00,8969.65,9021.2,8505.7,8557.25,2987600.0
BID,2014-02-10T00:00,8505.7,8866.55,8351.05,8763.45,4052090.0
BID,2014-02-11T00:00,8866.55,8866.55,8711.9,8711.9,1938480.0
BID,2014-02-12T00:00,8660.35,8711.9,8608.8,8660.35,1176180.0
BID,2014-02-13T00:00,8660.35,8711.9,8557.25,8557.25,2156140.0
BID,2014-02-14T00:00,8660.35,8763.45,8557.25,8660.35,1489380.0
BID,2014-02-17T00:00,8711.9,8711.9,8557.25,8608.8,1173560.0
BID,2014-02-18T00:00,8608.8,8608.8,8557.25,8557.25,1861540.0
BID,2014-02-19T00:00,8608.8,8660.35,8505.7,8557.25,2988120.0
BID,2014-02-20T00:00,8608.8,8866.55,8557.25,8711.9,3243650.0
BID,2014-02-21T00:00,8660.35,8660.35,8608.8,8608.8,903040.0
BID,2014-02-24T00:00,8660.35,8660.35,8557.25,8608.8,833430.0
BID,2014-02-25T00:00,8557.25,8608.8,8505.7,8608.8,1249150.0
BID,2014-02-26T00:00,8608.8,8711.9,8557.25,8608.8,1399670.0
BID,2014-02-27T00:00,8608.8,8969.65,8608.8,8711.9,3731900.0
BID,2014-02-28T00:00,8660.35,8763.45,8660.35,8763.45,1154560.0
BID,2014-03-03T00:00,8711.9,8763.45,8608.8,8608.8,954830.0
BID,2014-03-04T00:00,8557.25,8608.8,8505.7,8557.25,1551740.0
BID,2014-03-05T00:00,8608.8,8660.35,8557.25,8557.25,737090.0
BID,2014-03-06T00:00,8557.25,8608.8,8505.7,8557.25,768340.0
BID,2014-03-07T00:00,8557.25,8608.8,8557.25,8557.25,773450.0
BID,2014-03-10T00:00,8557.25,8660.35,8557.25,8608.8,957770.0
BID,2014-03-11T00:00,8557.25,8608.8,8557.25,8557.25,752790.0
BID,2014-03-12T00:00,8557.25,8608.8,8505.7,8505.7,979430.0
BID,2014-03-13T00:00,8557.25,8557.25,8454.15,8505.7,806950.0
BID,2014-03-14T00:00,8557.25,8608.8,8454.15,8557.25,924510.0
BID,2014-03-17T00:00,8557.25,8608.8,8505.7,8557.25,989350.0
BID,2014-03-18T00:00,8557.25,8711.9,8505.7,8660.35,2171570.0
BID,2014-03-19T00:00,8711.9,8969.65,8711.9,8969.65,5624790.0
BID,2014-03-20T00:00,9021.2,9278.95,9021.2,9124.3,3325420.0
BID,2014-03-21T00:00,9021.2,9175.85,9021.2,9021.2,1236010.0
BID,2014-03-24T00:00,9124.3,9278.95,9072.75,9072.75,2498010.0
BID,2014-03-25T00:00,9124.3,9124.3,8866.55,8866.55,2051430.0
BID,2014-03-26T00:00,8918.1,8918.1,8608.8,8660.35,2030920.0
BID,2014-03-27T00:00,8711.9,8711.9,8608.8,8660.35,1026180.0
BID,2014-03-28T00:00,8660.35,8763.45,8660.35,8763.45,713160.0
BID,2014-03-31T00:00,8815.0,8815.0,8660.35,8660.35,831760.0
BID,2014-04-01T00:00,8711.9,8711.9,8557.25,8608.8,1701600.0
BID,2014-04-02T00:00,8608.8,8660.35,8505.7,8608.8,1217110.0
BID,2014-04-03T00:00,8608.8,8711.9,8557.25,8660.35,519700.0
BID,2014-04-04T00:00,8711.9,8711.9,8608.8,8711.9,608360.0
BID,2014-04-07T00:00,8660.35,8711.9,8608.8,8660.35,441790.0
BID,2014-04-08T00:00,8660.35,8711.9,8608.8,8608.8,515610.0
BID,2014-04-10T00:00,8608.8,8660.35,8608.8,8608.8,485550.0
BID,2014-04-11T00:00,8557.25,8608.8,8505.7,8557.25,670380.0
BID,2014-04-14T00:00,8608.8,8660.35,8557.25,8608.8,414100.0
BID,2014-04-15T00:00,8557.25,8608.8,8505.7,8505.7,480360.0
