ticker,trading_date,open,high,low,close,volume
GAS,2012-05-21T00:00,16727.04,18580.58,16727.04,18535.37,2502080.0
GAS,2012-05-22T00:00,19439.53,19439.53,19213.49,19439.53,1934550.0
GAS,2012-05-23T00:00,19394.33,19439.53,18490.16,18490.16,1055780.0
GAS,2012-05-24T00:00,17631.2,18083.29,17586.0,17586.0,1009380.0
GAS,2012-05-25T00:00,17586.0,17992.87,16772.25,17631.2,877260.0
GAS,2012-05-28T00:00,17721.62,17721.62,16953.08,16998.29,457400.0
GAS,2012-05-29T00:00,16410.58,16727.04,16320.17,16591.42,418300.0
GAS,2012-05-30T00:00,16727.04,17133.91,16591.42,17088.71,170280.0
GAS,2012-05-31T00:00,16817.46,17088.71,16591.42,16817.46,269030.0
GAS,2012-06-01T00:00,16727.04,16907.87,16727.04,16817.46,138370.0
GAS,2012-06-04T00:00,16636.62,16636.62,16094.13,16094.13,383250.0
GAS,2012-06-05T00:00,15822.88,16229.75,15822.88,16094.13,330550.0
GAS,2012-06-06T00:00,16094.13,16274.96,15958.5,16184.54,101300.0
GAS,2012-06-07T00:00,16410.58,16953.08,16184.54,16953.08,280210.0
GAS,2012-06-08T00:00,17088.71,17766.83,16907.87,16953.08,300060.0
GAS,2012-06-11T00:00,16727.04,17133.91,16636.62,16636.62,106110.0
GAS,2012-06-12T00:00,16410.58,16953.08,16410.58,16410.58,126760.0
GAS,2012-06-13T00:00,16591.42,16591.42,16320.17,16455.79,33550.0
GAS,2012-06-14T00:00,16365.37,16636.62,16320.17,16455.79,88860.0
GAS,2012-06-15T00:00,16455.79,16862.67,16455.79,16772.25,80460.0
GAS,2012-06-18T00:00,16862.67,17179.12,16862.67,17133.91,181580.0
GAS,2012-06-19T00:00,17133.91,17269.54,16998.29,17133.91,263540.0
GAS,2012-06-20T00:00,17133.91,17495.58,17133.91,17359.96,224150.0
GAS,2012-06-21T00:00,17540.79,17540.79,17224.33,17405.16,86970.0
GAS,2012-06-22T00:00,17359.96,17540.79,17314.75,17450.37,182790.0
GAS,2012-06-25T00:00,17495.58,17495.58,16998.29,17133.91,216300.0
GAS,2012-06-26T00:00,16817.46,17133.91,16817.46,17133.91,107410.0
GAS,2012-06-27T00:00,17088.71,17359.96,17088.71,17179.12,56490.0
GAS,2012-06-28T00:00,17405.16,17405.16,17179.12,17405.16,314740.0
GAS,2012-06-29T00:00,17495.58,17495.58,17359.96,17359.96,591130.0
GAS,2012-07-02T00:00,17495.58,18083.29,17359.96,17405.16,111900.0
GAS,2012-07-03T00:00,17314.75,17540.79,17269.54,17450.37,98880.0
GAS,2012-07-04T00:00,17405.16,17450.37,17269.54,17314.75,181160.0
GAS,2012-07-05T00:00,17314.75,17359.96,16953.08,17314.75,32450.0
GAS,2012-07-06T00:00,17314.75,17314.75,16953.08,17314.75,27580.0
GAS,2012-07-09T00:00,17314.75,17314.75,17043.5,17179.12,14910.0
GAS,2012-07-10T00:00,17043.5,17179.12,16953.08,16953.08,54900.0
GAS,2012-07-11T00:00,16727.04,17088.71,16727.04,17088.71,32940.0
GAS,2012-07-12T00:00,17133.91,17133.91,16998.29,17133.91,2830.0
GAS,2012-07-13T00:00,17179.12,17269.54,17133.91,17224.33,77460.0
GAS,2012-07-16T00:00,16998.29,17314.75,16998.29,17314.75,75920.0
GAS,2012-07-17T00:00,17450.37,17450.37,17179.12,17314.75,182340.0
GAS,2012-07-18T00:00,17450.37,17450.37,17043.5,17359.96,146560.0
GAS,2012-07-19T00:00,17359.96,18128.5,17133.91,18128.5,819250.0
GAS,2012-07-20T00:00,18083.29,18083.29,17812.04,17902.45,287610.0
GAS,2012-07-23T00:00,17902.45,17902.45,17631.2,17812.04,51430.0
GAS,2012-07-24T00:00,17812.04,17812.04,17224.33,17450.37,33440.0
GAS,2012-07-25T00:00,17179.12,17631.2,17179.12,17450.37,59190.0
GAS,2012-07-26T00:00,17586.0,17586.0,17450.37,17586.0,28250.0
GAS,2012-07-27T00:00,17586.0,17631.2,17495.58,17540.79,42110.0
GAS,2012-07-30T00:00,17269.54,17721.62,17269.54,17721.62,36800.0
GAS,2012-07-31T00:00,17812.04,17812.04,17540.79,17586.0,37450.0
GAS,2012-08-01T00:00,17586.0,17676.41,17586.0,17631.2,126160.0
GAS,2012-08-02T00:00,17631.2,17902.45,17540.79,17766.83,379390.0
GAS,2012-08-03T00:00,17676.41,17812.04,17631.2,17766.83,338830.0
GAS,2012-08-06T00:00,17947.66,17947.66,17631.2,17812.04,307250.0
GAS,2012-08-07T00:00,17812.04,17857.25,17676.41,17812.04,39770.0
GAS,2012-08-08T00:00,17857.25,17857.25,17676.41,17676.41,88470.0
GAS,2012-08-09T00:00,17676.41,17812.04,17676.41,17676.41,139970.0
GAS,2012-08-10T00:00,17676.41,17812.04,17676.41,17676.41,82930.0
GAS,2012-08-13T00:00,17405.16,17721.62,17405.16,17676.41,52670.0
GAS,2012-08-14T00:00,17631.2,17766.83,17631.2,17721.62,65220.0
GAS,2012-08-15T00:00,17812.04,17857.25,17766.83,17812.04,172630.0
GAS,2012-08-16T00:00,17857.25,18218.91,17857.25,18128.5,713090.0
GAS,2012-08-17T00:00,18218.91,18897.03,18218.91,18806.62,2424550.0
GAS,2012-08-20T00:00,18987.45,18987.45,18806.62,18942.24,285470.0
GAS,2012-08-21T00:00,18897.03,18897.03,18038.08,18038.08,778620.0
GAS,2012-08-22T00:00,17405.16,18535.37,17405.16,18309.33,425250.0
GAS,2012-08-23T00:00,18083.29,18083.29,17405.16,17405.16,608680.0
GAS,2012-08-24T00:00,16636.62,18218.91,16636.62,17857.25,471190.0
GAS,2012-08-27T00:00,17812.04,17812.04,16998.29,16998.29,338670.0
GAS,2012-08-28T00:00,16817.46,17495.58,16817.46,17314.75,144670.0
GAS,2012-08-29T00:00,17992.87,18173.7,17992.87,18173.7,1294020.0
GAS,2012-08-30T00:00,18444.95,18625.79,18309.33,18535.37,1204090.0
GAS,2012-08-31T00:00,18767.25,18952.6,18674.57,18906.27,1200100.0
GAS,2012-09-04T00:00,19184.3,19184.3,18906.27,19045.28,633240.0
GAS,2012-09-05T00:00,19045.28,19137.96,18674.57,18813.59,154700.0
GAS,2012-09-06T00:00,18628.23,18859.93,18072.17,18072.17,174400.0
GAS,2012-09-07T00:00,18396.54,18952.6,18025.83,18952.6,360690.0
GAS,2012-09-10T00:00,18859.93,18859.93,18211.18,18489.22,454770.0
GAS,2012-09-11T00:00,18211.18,18998.94,18118.5,18628.23,157910.0
GAS,2012-09-12T00:00,18628.23,18952.6,18535.55,18906.27,566030.0
GAS,2012-09-13T00:00,18998.94,19184.3,18952.6,19137.96,533240.0
GAS,2012-09-14T00:00,19647.69,19647.69,19230.64,19369.65,824280.0
GAS,2012-09-17T00:00,19230.64,19462.33,19137.96,19137.96,113130.0
GAS,2012-09-18T00:00,19184.3,19184.3,18303.86,18628.23,143650.0
GAS,2012-09-19T00:00,18489.22,18998.94,18489.22,18859.93,262800.0
GAS,2012-09-20T00:00,18859.93,18859.93,18350.2,18535.55,46540.0
GAS,2012-09-21T00:00,18906.27,18906.27,18396.54,18535.55,98550.0
GAS,2012-09-24T00:00,18072.17,18535.55,17840.47,17979.49,434220.0
GAS,2012-09-25T00:00,18164.84,18535.55,18164.84,18442.88,303570.0
GAS,2012-09-26T00:00,18396.54,18720.91,18396.54,18535.55,117740.0
GAS,2012-09-27T00:00,18442.88,18489.22,18164.84,18164.84,90010.0
GAS,2012-09-28T00:00,18072.17,18628.23,18072.17,18581.89,199000.0
GAS,2012-10-01T00:00,18535.55,18535.55,17886.81,17933.15,129660.0
GAS,2012-10-02T00:00,18072.17,18072.17,17886.81,17933.15,227380.0
GAS,2012-10-03T00:00,17933.15,18072.17,17886.81,17933.15,236880.0
GAS,2012-10-04T00:00,18025.83,18025.83,17933.15,17979.49,162210.0
GAS,2012-10-05T00:00,17979.49,18442.88,17979.49,18350.2,217330.0
GAS,2012-10-08T00:00,18257.52,18581.89,18257.52,18396.54,242320.0
GAS,2012-10-09T00:00,18489.22,18489.22,17979.49,18396.54,238310.0
GAS,2012-10-10T00:00,18164.84,18396.54,18164.84,18396.54,33740.0
GAS,2012-10-11T00:00,18396.54,18442.88,18303.86,18396.54,110180.0
GAS,2012-10-12T00:00,18442.88,18442.88,18257.52,18257.52,79120.0
GAS,2012-10-15T00:00,18442.88,18442.88,17886.81,17933.15,45510.0
GAS,2012-10-16T00:00,18025.83,18303.86,17979.49,18072.17,87690.0
GAS,2012-10-17T00:00,18072.17,18257.52,17979.49,18025.83,35150.0
GAS,2012-10-18T00:00,18211.18,18211.18,18025.83,18025.83,60080.0
GAS,2012-10-19T00:00,18164.84,18442.88,17933.15,18442.88,271750.0
GAS,2012-10-22T00:00,18442.88,18442.88,18072.17,18257.52,4050.0
GAS,2012-10-23T00:00,18442.88,18720.91,18303.86,18535.55,172530.0
GAS,2012-10-24T00:00,18628.23,18628.23,18442.88,18442.88,53520.0
GAS,2012-10-25T00:00,18211.18,18489.22,18211.18,18211.18,12940.0
GAS,2012-10-26T00:00,18211.18,18350.2,18118.5,18211.18,26410.0
GAS,2012-10-29T00:00,18442.88,18442.88,18211.18,18303.86,29930.0
GAS,2012-10-30T00:00,18350.2,18442.88,18350.2,18350.2,79390.0
GAS,2012-10-31T00:00,18303.86,18489.22,18303.86,18303.86,76830.0
GAS,2012-11-01T00:00,18396.54,18396.54,18257.52,18303.86,223990.0
GAS,2012-11-02T00:00,17608.78,18072.17,17608.78,17886.81,95260.0
GAS,2012-11-05T00:00,18025.83,18118.5,17886.81,18025.83,100740.0
GAS,2012-11-06T00:00,18211.18,18211.18,17979.49,18072.17,11380.0
GAS,2012-11-07T00:00,18164.84,18164.84,17979.49,18072.17,65790.0
GAS,2012-11-08T00:00,18164.84,18164.84,18025.83,18072.17,104620.0
GAS,2012-11-09T00:00,18072.17,18257.52,18025.83,18072.17,249060.0
GAS,2012-11-12T00:00,18257.52,18257.52,18072.17,18072.17,110350.0
GAS,2012-11-13T00:00,18164.84,18164.84,18072.17,18072.17,99660.0
GAS,2012-11-14T00:00,18072.17,18164.84,18025.83,18072.17,119660.0
GAS,2012-11-15T00:00,18164.84,18164.84,18025.83,18025.83,44850.0
GAS,2012-11-16T00:00,17979.49,18118.5,17979.49,18072.17,44410.0
GAS,2012-11-19T00:00,18025.83,18118.5,17979.49,17979.49,60140.0
GAS,2012-11-20T00:00,17979.49,18072.17,17979.49,18025.83,13590.0
GAS,2012-11-21T00:00,18025.83,18118.5,17979.49,17979.49,88770.0
GAS,2012-11-22T00:00,18025.83,18118.5,18025.83,18072.17,148050.0
GAS,2012-11-23T00:00,18072.17,18118.5,17979.49,18072.17,82060.0
GAS,2012-11-26T00:00,18025.83,18025.83,17933.15,17979.49,44460.0
GAS,2012-11-27T00:00,17933.15,18025.83,17933.15,17979.49,29740.0
GAS,2012-11-28T00:00,17933.15,18072.17,17933.15,18025.83,43070.0
GAS,2012-11-29T00:00,18025.83,18025.83,17979.49,17979.49,24140.0
GAS,2012-11-30T00:00,18025.83,18072.17,17979.49,17979.49,40500.0
GAS,2012-12-03T00:00,18025.83,18072.17,17979.49,18025.83,60410.0
GAS,2012-12-04T00:00,18263.5,18501.31,18120.82,18501.31,135030.0
GAS,2012-12-05T00:00,18548.87,18548.87,18406.19,18548.87,36080.0
GAS,2012-12-06T00:00,18501.31,18501.31,18358.63,18358.63,2760.0
GAS,2012-12-07T00:00,18358.63,18453.75,18168.38,18311.07,18370.0
GAS,2012-12-10T00:00,18358.63,18453.75,18215.94,18358.63,40080.0
GAS,2012-12-11T00:00,18548.87,18691.56,18358.63,18501.31,6570.0
GAS,2012-12-12T00:00,18358.63,18548.87,18311.07,18501.31,68420.0
GAS,2012-12-13T00:00,18501.31,18548.87,18358.63,18358.63,127330.0
GAS,2012-12-14T00:00,18548.87,18548.87,18358.63,18358.63,58880.0
